temperature,rh,ws,rain,ffmc,dmc,dc,isi,bui,region,fwi
39,21,17,0.4,93.0,18.4,41.5,15.5,18.4,Sidi-Bel Abbes,18.8
36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,Bejaia,4.2
31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,Bejaia,0.9
31,52,14,0.0,87.7,6.4,24.3,6.2,7.7,Bejaia,5.9
29,74,15,1.1,59.5,4.7,8.2,0.8,4.6,Sidi-Bel Abbes,0.3
36,54,18,0.0,89.4,20.0,110.9,9.7,27.5,Bejaia,16.1
33,59,16,0.8,74.2,7.0,8.3,1.6,6.7,Sidi-Bel Abbes,0.8
34,53,18,0.0,89.0,21.6,80.3,9.2,25.8,Bejaia,15.0
33,64,13,0.0,88.9,26.1,106.3,7.1,32.4,Sidi-Bel Abbes,13.7
30,59,19,0.0,89.1,27.8,168.2,9.8,39.3,Sidi-Bel Abbes,19.4
38,52,14,0.0,78.3,4.4,10.5,2.0,4.4,Sidi-Bel Abbes,0.8
40,31,15,0.0,94.2,22.5,46.3,16.6,22.4,Sidi-Bel Abbes,21.6
29,57,18,0.0,65.7,3.4,7.6,1.3,3.4,Bejaia,0.5
26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,Bejaia,0.1
37,52,18,0.0,89.3,16.0,100.7,9.7,22.9,Bejaia,14.6
29,70,14,0.0,82.8,9.4,34.1,3.2,11.1,Bejaia,3.6
30,77,15,1.0,56.1,2.1,8.4,0.7,2.6,Bejaia,0.2
29,87,15,0.4,47.4,4.2,8.0,0.2,4.1,Sidi-Bel Abbes,0.1
36,62,16,0.0,87.8,16.5,34.5,7.0,16.4,Sidi-Bel Abbes,9.5
33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,Sidi-Bel Abbes,2.5
35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,Bejaia,4.2
35,60,15,0.0,88.9,43.9,181.3,8.2,54.7,Bejaia,20.3
34,58,16,0.0,88.1,27.8,61.1,7.3,27.7,Sidi-Bel Abbes,13.0
34,51,16,3.8,77.5,8.0,9.5,2.0,7.7,Sidi-Bel Abbes,1.3
31,71,17,0.3,69.6,3.2,30.1,1.5,5.1,Bejaia,0.6
35,64,18,0.2,80.0,9.7,40.4,2.8,12.1,Bejaia,3.2
33,46,14,1.1,78.3,8.1,8.3,1.9,7.7,Sidi-Bel Abbes,1.2
36,45,14,0.0,78.8,4.8,10.2,2.0,4.7,Bejaia,0.9
32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,Bejaia,3.8
31,66,11,0.0,85.7,8.3,24.9,4.0,9.0,Bejaia,4.1
38,43,13,0.5,85.0,13.0,35.4,4.1,13.7,Sidi-Bel Abbes,5.2
28,90,15,0.0,66.8,7.2,14.7,1.2,7.1,Sidi-Bel Abbes,0.6
26,81,19,0.0,84.0,13.8,61.4,4.8,17.7,Bejaia,
28,70,15,0.0,79.9,13.8,36.1,2.4,14.1,Sidi-Bel Abbes,3.0
32,55,14,0.0,89.1,25.5,88.5,7.6,29.7,Bejaia,13.9
37,36,13,0.6,86.2,17.9,36.7,4.8,17.8,Sidi-Bel Abbes,7.2
27,77,16,0.0,64.8,3.0,14.2,1.2,3.9,Bejaia,0.5
32,71,12,0.7,57.1,2.5,8.2,0.6,2.8,Sidi-Bel Abbes,0.2
32,76,20,0.7,63.1,2.6,9.2,1.3,3.0,Bejaia,0.5
31,72,14,0.2,60.2,3.8,8.0,0.8,3.7,Sidi-Bel Abbes,0.3
32,48,18,0.0,91.5,44.2,90.1,13.2,44.0,Sidi-Bel Abbes,25.4
31,69,17,4.7,62.2,3.9,8.0,1.1,3.8,Sidi-Bel Abbes,0.4
35,55,12,0.4,78.0,5.8,10.0,1.7,5.5,Bejaia,0.8
27,79,16,0.7,53.4,6.4,7.3,0.5,6.1,Sidi-Bel Abbes,0.3
35,44,17,0.2,85.6,9.9,28.9,5.4,10.7,Sidi-Bel Abbes,6.0
31,62,15,0.0,83.3,5.8,17.7,3.8,6.4,Sidi-Bel Abbes,3.2
40,34,14,0.0,93.3,10.8,21.4,13.8,10.6,Sidi-Bel Abbes,13.5
35,55,14,0.0,88.9,18.6,67.0,7.4,21.9,Bejaia,11.6
36,43,16,0.0,91.2,46.1,137.7,11.5,50.2,Sidi-Bel Abbes,24.5
34,69,13,0.0,85.0,8.2,19.8,4.0,8.2,Bejaia,3.9
30,80,19,0.4,60.7,5.2,17.0,1.1,5.9,Bejaia,0.5
34,71,14,6.5,64.5,3.3,9.1,1.0,3.5,Sidi-Bel Abbes,0.4
33,76,14,0.0,81.1,8.1,18.7,2.6,8.1,Bejaia,2.2
30,73,13,4.0,55.7,2.7,7.8,0.6,2.9,Sidi-Bel Abbes,0.2
32,66,17,0.0,85.9,11.2,55.8,5.6,14.9,Bejaia,7.5
37,55,15,0.0,89.3,28.3,67.2,8.3,28.3,Sidi-Bel Abbes,14.5
29,87,18,0.0,80.0,11.8,28.3,2.8,11.8,Sidi-Bel Abbes,3.2
36,58,19,0.0,88.6,29.6,141.1,9.2,38.8,Bejaia,18.4
33,69,13,0.7,66.6,6.0,9.3,1.1,5.8,Bejaia,0.5
37,53,14,0.0,89.5,41.1,127.5,8.0,45.5,Sidi-Bel Abbes,18.1
31,68,14,0.0,85.4,12.1,43.1,4.6,14.2,Bejaia,6.0
25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,Bejaia,0.0
39,33,17,0.0,93.7,17.1,32.1,17.2,16.9,Sidi-Bel Abbes,19.5
34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,Bejaia,0.8
35,68,16,0.0,85.3,10.0,17.0,4.9,9.9,Sidi-Bel Abbes,5.3
37,56,11,0.0,87.4,11.2,20.2,5.2,11.0,Sidi-Bel Abbes,5.9
25,89,13,2.5,28.6,1.3,6.9,0.0,1.7,Bejaia,0.0
22,76,26,8.3,47.4,1.1,7.0,0.4,1.6,Bejaia,0.1
28,78,16,0.1,70.0,9.6,79.7,1.4,14.7,Bejaia,1.3
27,58,17,0.0,88.9,21.3,37.8,8.7,21.2,Sidi-Bel Abbes,12.9
30,88,14,0.0,82.5,6.6,26.1,3.0,8.1,Sidi-Bel Abbes,2.7
26,49,6,2.0,61.3,11.9,28.1,0.6,11.9,Sidi-Bel Abbes,0.4
29,49,19,0.0,88.6,11.5,33.4,9.1,12.4,Sidi-Bel Abbes,10.3
33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,Bejaia,4.0
36,44,13,0.0,90.1,12.6,19.4,8.3,12.5,Sidi-Bel Abbes,9.6
35,68,19,0.0,88.3,25.9,130.6,8.8,34.7,Bejaia,16.8
33,66,14,0.0,85.9,7.6,27.9,4.8,9.1,Bejaia,4.9
35,66,15,0.1,82.7,32.7,96.8,3.3,35.5,Sidi-Bel Abbes,7.7
30,73,15,0.0,86.6,12.1,38.3,5.6,13.5,Bejaia,7.1
36,50,16,0.0,89.9,32.7,71.0,9.5,32.6,Sidi-Bel Abbes,17.3
29,57,14,0.0,89.3,12.5,41.3,7.8,14.2,Bejaia,9.7
28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,Bejaia,0.3
36,53,16,0.0,89.5,37.6,161.5,10.4,47.5,Bejaia,22.3
30,66,15,0.2,73.5,4.1,26.6,1.5,6.0,Sidi-Bel Abbes,0.7
30,80,15,0.0,83.1,7.9,34.5,3.5,10.0,Sidi-Bel Abbes,3.7
35,48,18,0.0,90.1,54.2,220.4,12.5,67.4,Bejaia,30.2
25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,Bejaia,0.3
30,78,20,0.5,59.0,4.6,7.8,1.0,4.4,Bejaia,0.4
31,79,15,0.0,85.4,28.5,136.0,4.7,37.4,Bejaia,10.7
36,54,14,0.0,91.0,65.9,177.3,10.0,68.0,Sidi-Bel Abbes,26.1
30,41,15,0.0,89.4,13.3,22.5,8.4,13.1,Sidi-Bel Abbes,10.0
31,78,14,0.3,56.9,1.9,8.0,0.7,2.4,Bejaia,0.2
34,45,17,0.0,90.5,18.0,24.1,10.9,17.7,Sidi-Bel Abbes,14.1
35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,Bejaia,4.2
29,41,8,0.1,83.9,24.9,86.0,2.7,28.9,Sidi-Bel Abbes,5.6
30,52,15,2.0,72.3,11.4,7.8,1.4,10.9,Sidi-Bel Abbes,0.9
42,24,9,0.0,96.0,30.3,76.4,15.7,30.4,Sidi-Bel Abbes,24.0
30,73,14,0.0,79.2,6.5,16.6,2.1,6.6,Sidi-Bel Abbes,1.2
35,63,14,0.3,76.6,5.7,10.0,1.7,5.5,Bejaia,0.8
31,65,18,0.0,84.3,12.5,88.7,4.8,18.5,Bejaia,7.3
30,65,14,0.0,78.1,3.2,15.7,1.9,4.2,Bejaia,0.8
33,70,17,0.0,85.4,18.5,71.5,5.2,22.4,Bejaia,8.8
34,44,12,0.0,92.5,25.2,63.3,11.2,26.2,Sidi-Bel Abbes,17.5
31,71,17,0.0,87.3,46.6,99.0,6.9,46.5,Sidi-Bel Abbes,16.3
34,49,15,0.0,89.2,24.8,159.1,8.1,35.7,Sidi-Bel Abbes,16.0
34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,Sidi-Bel Abbes,0.6
28,87,15,4.4,41.1,6.5,8.0,0.1,6.2,Sidi-Bel Abbes,0.0
28,67,19,0.0,75.4,2.9,16.3,2.0,4.0,Sidi-Bel Abbes,0.8
33,68,15,0.0,86.1,23.9,51.6,5.2,23.9,Sidi-Bel Abbes,9.1
32,73,15,0.0,86.6,26.7,127.0,5.6,35.0,Bejaia,11.9
35,59,17,0.0,88.1,12.0,52.8,7.7,18.2,Bejaia,10.9
34,64,16,0.0,89.4,50.2,210.4,7.3,62.9,Bejaia,19.9
31,67,17,0.1,79.1,7.0,39.5,2.4,9.7,Bejaia,2.3
33,76,15,0.0,86.5,24.4,117.8,5.6,32.1,Bejaia,11.3
36,71,15,0.0,86.0,36.9,117.1,5.1,41.3,Sidi-Bel Abbes,12.2
36,43,15,1.9,82.3,9.4,9.9,3.2,9.0,Sidi-Bel Abbes,3.1
35,56,14,0.0,89.0,29.4,115.6,7.5,36.0,Sidi-Bel Abbes,15.2
34,42,17,0.1,88.3,23.6,52.5,19.0,23.5,Sidi-Bel Abbes,12.6
39,43,12,0.0,91.7,16.5,30.9,9.6,16.4,Sidi-Bel Abbes,12.7
28,51,17,1.3,71.4,7.7,7.4,1.5,7.3,Sidi-Bel Abbes,0.8
33,68,19,0.0,85.6,12.5,49.8,6.0,15.4,Bejaia,8.0
35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,Sidi-Bel Abbes,6.3
33,26,13,0.0,93.9,21.2,59.2,14.2,22.4,Sidi-Bel Abbes,19.3
29,61,13,1.3,64.4,4.1,7.6,1.0,3.9,Bejaia,0.4
27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,Bejaia,2.1
37,37,13,0.0,92.5,27.2,52.4,11.7,27.1,Sidi-Bel Abbes,18.4
27,59,18,0.1,78.1,8.5,14.7,2.4,8.3,Sidi-Bel Abbes,1.9
34,42,15,1.7,79.7,12.0,8.5,2.2,11.5,Sidi-Bel Abbes,2.2
29,88,13,0.0,71.0,2.6,16.6,1.2,3.7,Bejaia,0.5
30,73,17,0.9,62.0,2.6,8.4,1.1,3.0,Bejaia,0.4
26,81,21,5.8,48.6,3.0,7.7,0.4,3.0,Bejaia,0.1
33,82,21,0.0,84.9,47.0,200.2,4.4,59.3,Bejaia,13.2
36,81,15,0.0,83.7,34.4,107.0,3.8,38.1,Sidi-Bel Abbes,9.0
33,66,14,0.0,87.0,21.7,94.7,5.7,27.2,Bejaia,10.6
29,86,16,0.0,37.9,0.9,8.2,0.1,1.4,Sidi-Bel Abbes,0.0
35,56,14,0.4,79.2,37.0,166.0,2.1,30.6,Sidi-Bel Abbes,6.1
25,78,14,1.4,45.0,1.9,7.5,0.2,2.4,Bejaia,0.1
24,64,15,0.2,67.3,3.8,16.5,1.2,4.8,Sidi-Bel Abbes,0.5
30,78,14,0.0,81.0,6.3,31.6,2.6,8.4,Bejaia,2.2
30,54,14,3.1,70.5,11.0,9.1,1.3,10.5,Sidi-Bel Abbes,0.8
35,63,13,0.0,88.9,21.7,77.0,7.1,25.5,Bejaia,12.1
24,82,15,0.4,44.9,0.9,7.3,0.2,1.4,Bejaia,0.0
28,80,17,3.1,49.4,3.0,7.4,0.4,3.0,Bejaia,0.1
25,76,17,7.2,46.0,1.3,7.5,0.2,1.8,Bejaia,0.1
33,57,16,0.0,87.5,15.7,37.6,6.7,15.7,Sidi-Bel Abbes,9.0
30,77,21,1.8,58.5,1.9,8.4,1.1,2.4,Bejaia,0.3
